Picture,FragID,Genotype,file,AOI,Tank
1,1735B,1735,1 1735_1753,1,T1
1,1753G,1753,1 1735_1753,2,T1
1,1753N,1753,1 1735_1753,3,T1
1,1723O,1723,1 1735_1753,4,T1
1,1729M,1729,1 1735_1753,5,T1
1,1745F,1745,1 1735_1753,6,T1
1,1728I,1728,1 1735_1753,7,T1
1,1737A,1737,1 1735_1753,8,T1
1,1748K,1748,1 1735_1753,9,T1
2,1727C,1727,2 1727_1759,1,T1
2,1759L,1759,2 1727_1759,2,T1
2,1747O,1747,2 1727_1759,3,T1
2,1736E,1736,2 1727_1759,4,T1
2,1735D,1735,2 1727_1759,5,T1
2,1735G,1735,2 1727_1759,6,T1
2,1745I,1745,2 1727_1759,7,T1
2,1741L,1741,2 1727_1759,8,T1
3,1737K,1737,3 1737,1,T1
4,1733A,1733,4 1733_1726,1,T2
4,1726E,1726,4 1733_1726,2,T2
4,1748H,1748,4 1733_1726,3,T2
4,1745D,1745,4 1733_1726,4,T2
4,1723E,1723,4 1733_1726,5,T2
4,1741H,1741,4 1733_1726,6,T2
5,1759G,1759,5 1759_1759,1,T2
5,1759I,1759,5 1759_1759,2,T2
5,1751A,1751,5 1759_1759,3,T2
5,1753C,1753,5 1759_1759,4,T2
5,1758D,1758,5 1759_1759,5,T2
5,1735H,1735,5 1759_1759,6,T2
5,1759K,1759,5 1759_1759,7,T2
5,1748C,1748,5 1759_1759,8,T2
6,1753F,1753,6 1725_1753,1,T2
6,1725G,1725,6 1725_1753,2,T2
7,1743L,1743,7 1743,1,T2
8,1753O,1753,8 1743_1745,1,T3
8,1748G,1748,8 1743_1745,2,T3
8,1759O,1759,8 1743_1745,3,T3
8,1745H,1745,8 1743_1745,4,T3
8,1743O,1743,8 1743_1745,5,T3
9,1735I,1735,9 1735_1735,1,T3
9,1735A,1735,9 1735_1735,2,T3
9,1729K,1729,9 1735_1735,3,T3
10,1733H,1733,10 1733,1,T3
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
,,,,,
